rules,support,confidence,lift,count
{fresh bread} => {mineral water},0.013331556,0.309597523,1.298820482,100
{salmon} => {spaghetti},0.013464871,0.31661442,1.818472255,101
{salmon} => {mineral water},0.017064391,0.401253918,1.683336489,128
{honey} => {mineral water},0.015064658,0.31741573,1.331619347,113
{herb & pepper} => {ground beef},0.015997867,0.323450135,3.291993841,120
{herb & pepper} => {eggs},0.012531662,0.253369272,1.409883465,94
{herb & pepper} => {spaghetti},0.016264498,0.32884097,1.888695343,122
{herb & pepper} => {mineral water},0.017064391,0.345013477,1.447397143,128
{grated cheese} => {spaghetti},0.016531129,0.315521628,1.812195816,124
{grated cheese} => {mineral water},0.017464338,0.333333333,1.398396719,131
{soup} => {milk},0.015197974,0.300791557,2.321231962,114
{soup} => {spaghetti},0.014264765,0.2823219,1.621513453,107
{soup} => {mineral water},0.023063592,0.45646438,1.914954874,173
{cooking oil} => {chocolate},0.013598187,0.266318538,1.625431532,102
{cooking oil} => {spaghetti},0.015864551,0.310704961,1.784531326,119
{cooking oil} => {mineral water},0.020130649,0.394255875,1.653978365,151
{whole wheat rice} => {mineral water},0.020130649,0.343963554,1.442992514,151
{turkey} => {eggs},0.019464071,0.31130064,1.73224488,146
{turkey} => {spaghetti},0.016531129,0.264392324,1.518535087,124
{turkey} => {mineral water},0.01919744,0.307036247,1.288075443,144
{chicken} => {spaghetti},0.017197707,0.286666667,1.646467586,129
{chicken} => {mineral water},0.02279696,0.38,1.59417226,171
{frozen smoothie} => {mineral water},0.020263965,0.32,1.34246085,152
{low fat yogurt} => {mineral water},0.0239968,0.31358885,1.315564857,180
{tomatoes} => {spaghetti},0.020930543,0.306042885,1.757754732,157
{tomatoes} => {mineral water},0.024396747,0.356725146,1.496529822,183
{olive oil} => {milk},0.017064391,0.259109312,1.999566818,128
{olive oil} => {spaghetti},0.022930276,0.348178138,1.999758201,172
{olive oil} => {mineral water},0.02759632,0.41902834,1.757903568,207
{shrimp} => {chocolate},0.0179976,0.251865672,1.537220832,135
{shrimp} => {spaghetti},0.021197174,0.296641791,1.703759628,159
{shrimp} => {mineral water},0.023596854,0.330223881,1.385351973,177
{cake} => {mineral water},0.027463005,0.338815789,1.421396665,206
{burgers} => {french fries},0.021997067,0.252293578,1.476173267,165
{burgers} => {eggs},0.028796161,0.330275229,1.837829744,216
{burgers} => {mineral water},0.024396747,0.279816514,1.173883484,183
{pancakes} => {spaghetti},0.02519664,0.265077139,1.522468314,189
{pancakes} => {mineral water},0.033728836,0.35483871,1.488615862,253
{frozen vegetables} => {spaghetti},0.027862952,0.292307692,1.678866769,209
{frozen vegetables} => {mineral water},0.03572857,0.374825175,1.572462884,268
{ground beef} => {spaghetti},0.039194774,0.398914518,2.291162176,294
{ground beef} => {mineral water},0.040927876,0.416553596,1.747521544,307
{milk} => {spaghetti},0.035461938,0.273662551,1.571778559,266
{milk} => {mineral water},0.047993601,0.37037037,1.553774132,360
{chocolate} => {mineral water},0.052659645,0.321399512,1.348332068,395
{eggs} => {mineral water},0.050926543,0.283382789,1.188844688,382
{spaghetti} => {mineral water},0.05972537,0.343032159,1.439085138,448
{mineral water} => {spaghetti},0.05972537,0.250559284,1.439085138,448
"{ground beef,spaghetti} => {mineral water}",0.017064391,0.43537415,1.826477347,128
"{ground beef,mineral water} => {spaghetti}",0.017064391,0.416938111,2.394680527,128
"{mineral water,spaghetti} => {ground beef}",0.017064391,0.285714286,2.907927893,128
"{chocolate,milk} => {mineral water}",0.013998134,0.435684647,1.827779944,105
"{milk,mineral water} => {chocolate}",0.013998134,0.291666667,1.78013968,105
"{chocolate,mineral water} => {milk}",0.013998134,0.265822785,2.051375215,105
"{eggs,milk} => {mineral water}",0.013064925,0.424242424,1.779777642,98
"{milk,mineral water} => {eggs}",0.013064925,0.272222222,1.514791461,98
"{eggs,mineral water} => {milk}",0.013064925,0.256544503,1.979773986,98
"{milk,spaghetti} => {mineral water}",0.015731236,0.443609023,1.861024205,118
"{milk,mineral water} => {spaghetti}",0.015731236,0.327777778,1.882588906,118
"{mineral water,spaghetti} => {milk}",0.015731236,0.263392857,2.032623273,118
"{chocolate,eggs} => {mineral water}",0.013464871,0.40562249,1.701663477,101
"{chocolate,mineral water} => {eggs}",0.013464871,0.255696203,1.422831762,101
"{eggs,mineral water} => {chocolate}",0.013464871,0.264397906,1.613709269,101
"{chocolate,spaghetti} => {mineral water}",0.015864551,0.404761905,1.698053159,119
"{chocolate,mineral water} => {spaghetti}",0.015864551,0.301265823,1.730317716,119
"{mineral water,spaghetti} => {chocolate}",0.015864551,0.265625,1.621198637,119
"{eggs,spaghetti} => {mineral water}",0.014264765,0.390510949,1.638267689,107
"{eggs,mineral water} => {spaghetti}",0.014264765,0.280104712,1.608779054,107
