Date,Game,Team,Vs,Match,Venue,Toss,Inn,Result,Top01%,Top02%,Top03%,Top04%,Top05%,Top06%,Top07%,Top08%,Top09%,Top10%,Top11%,Top01C%,Top02VC%,Top1,Top2,Top3,Top4,Top5,C,VC,WK,Bat,AR,Bowl,Frgnr,D11,runs,runs_pp%,runs_last5%,wkts_pp_taken,wkts_by_spin,wkts_by_pacer,wkts_pp_lost,wkts_to_spin,wkt_to_pacer
19-09-2020,1,MI,CSK,1,Abu Dhabi,Lost,First,Lost,64.48,45.69,44.56,24.37,63.75,72.76,5.43,12.58,73.19,27.69,22.3,5.07,3.38,Tiwary,Pattinson,deKock,Chahar,Krunal,None,None,1,1,0,2,2,180,162,31.48,22.22,2,2,3,2,3,6
19-09-2020,1,CSK,MI,1,Abu Dhabi,Won,Second,Won,64.48,45.69,44.56,24.37,63.75,72.76,5.43,12.58,73.19,27.69,22.3,5.07,3.38,DuPlesis,Rayudu,Ngidi,Curran,Jadeja,Bat,Bat,0,2,2,3,3,634.5,166,22.29,24.1,2,3,6,2,2,3
20-09-2020,2,DC,KXIP,1,Dubai,Lost,First,Won,56.74,57.55,75.17,84.59,55.49,84.51,43.34,88.45,56.52,27.7,23.4,2.06,3.58,Stoinis,Rabada,Ashwin,Iyer,Pant,AR,None,1,2,1,2,2,543,157,11.46,40.76,3,3,5,3,1,5
20-09-2020,2,KXIP,DC,1,Dubai,Won,Second,Lost,56.74,57.55,75.17,84.59,55.49,84.51,43.34,88.45,56.52,27.7,23.4,2.06,3.58,Agrawal,Shami,Cottrell,Rahul,Gowtham,None,Bat,1,1,1,2,1,384,157,22.29,37.58,3,1,5,3,3,5
21-09-2020,3,RCB,SRH,1,Dubai,Lost,First,Won,84.15,65.03,23.96,66.8,44.52,41.33,59.96,66.73,5.46,72.81,12.42,14.6,3.2,Chahal,Padikkal,DeVilliers,Dube,Saini,None,Bowl,1,3,1,2,2,468.5,163,32.52,28.83,1,3,5,0,1,2
21-09-2020,3,SRH,RCB,1,Dubai,Won,Second,Lost,84.15,65.03,23.96,66.8,44.52,41.33,59.96,66.73,5.46,72.81,12.42,14.6,3.2,Bairstow,Pandey,Abhishek,Natrajan,Shankar,WK,None,1,2,0,1,1,320,153,31.37,20.92,0,1,2,1,3,5
22-09-2020,4,RR,CSK,1,Sharjah,Lost,First,Won,76.66,83.23,70.02,81.45,13.94,86.64,43.69,69.83,67.56,9.47,22.62,10.08,12.21,Samson,Smith,Tewatia,Archer,Curran,WK,None,1,1,1,2,3,577,216,25,28.7,0,4,2,1,1,5
22-09-2020,4,CSK,RR,2,Sharjah,Won,Second,Lost,76.66,83.23,70.02,81.45,13.94,86.64,43.69,69.83,67.56,9.47,22.62,10.08,12.21,DuPlesis,Curran,Dhoni,Watson,Chahar,None,Bat,1,3,1,1,3,442.5,200,26.5,34.5,1,1,5,0,4,2
23-09-2020,5,MI,KKR,2,Abu Dhabi,Lost,First,Won,71.86,14.69,56.92,57.59,52.38,44.68,58.69,32.77,29.39,62.49,62.66,24.66,0.23,Rohit,Boult,Yadav,Pattinson,Bumrah,Bat,None,0,2,1,4,2,232,195,30.26,24.62,2,2,7,1,1,3
23-09-2020,5,KKR,MI,1,Abu Dhabi,Won,Second,Lost,71.86,14.69,56.92,57.59,52.38,44.68,58.69,32.77,29.39,62.49,62.66,24.66,0.23,Mavi,Cummins,Narine,Russell,Karthik,None,Bowl,1,1,0,2,3,548,146,22.6,31.51,1,1,3,2,2,7
